subject_id,modality,macro_f1,balanced_accuracy,severe_error_rate,oof_runs
sub-cp012,multimodal_reference,0.9142857142857143,0.9166666666666666,0.0,12
sub-cp013,multimodal_reference,0.7202380952380952,0.75,0.16666666666666666,12
sub-cp014,multimodal_reference,0.9142857142857144,0.9166666666666666,0.0,12
sub-cp015,multimodal_reference,0.7541666666666667,0.7499999999999999,0.08333333333333333,12
sub-cp016,multimodal_reference,1.0,1.0,0.0,12
sub-cp017,multimodal_reference,0.8125,0.8333333333333333,0.0,12
sub-cp018,multimodal_reference,1.0,1.0,0.0,12
sub-cp019,multimodal_reference,1.0,1.0,0.0,12
sub-cp020,multimodal_reference,0.8125,0.8333333333333333,0.0,12
sub-cp022,multimodal_reference,0.8333333333333333,0.8333333333333333,0.0,12
sub-cp023,multimodal_reference,0.9142857142857144,0.9166666666666666,0.08333333333333333,12
sub-cp024,multimodal_reference,0.830952380952381,0.8333333333333333,0.0,12
sub-cp025,multimodal_reference,0.9142857142857143,0.9166666666666666,0.0,12
sub-cp026,multimodal_reference,1.0,1.0,0.0,12
sub-cp027,multimodal_reference,0.9142857142857144,0.9166666666666666,0.0,12
sub-cp028,multimodal_reference,0.9142857142857143,0.9166666666666666,0.0,12
sub-cp029,multimodal_reference,1.0,1.0,0.0,12
sub-cp030,multimodal_reference,0.9142857142857143,0.9166666666666666,0.0,11
sub-cp031,multimodal_reference,0.9142857142857143,0.9375,0.0,12
sub-cp032,multimodal_reference,0.9142857142857144,0.9166666666666666,0.0,12
sub-cp033,multimodal_reference,0.7309523809523809,0.75,0.0,12
sub-cp035,multimodal_reference,0.9142857142857143,0.9166666666666666,0.0,12
sub-cp036,multimodal_reference,0.5113636363636364,0.5833333333333333,0.16666666666666666,12
sub-cp037,multimodal_reference,1.0,1.0,0.0,12
sub-cp038,multimodal_reference,0.4666666666666667,0.5,0.0,12
sub-cp039,multimodal_reference,0.325,0.41666666666666663,0.16666666666666666,12
sub-cp042,multimodal_reference,0.9142857142857143,0.9166666666666666,0.0,12
sub-cp043,multimodal_reference,0.9142857142857143,0.9166666666666666,0.0,12
