outer_fold,dimension,seed,test_rows,warmups,timed_repetitions,clock,preprocessing_median_batch_ns,encoding_median_batch_ns,dual_heads_median_batch_ns,complete_inference_median_batch_ns,complete_inference_median_per_sample_ns,encoding_throughput_rows_per_second,identity_hv_bytes,level_hv_bytes,tie_vector_bytes,prototype_bytes,ridge_readout_bytes,preprocessing_state_bytes,total_model_component_bytes,model_artifact_file_bytes,inference_python_peak_allocated_bytes,repeated_outputs_discarded,repeated_output_digest,frozen_prediction_max_abs_difference
4,1000,46,84,5,30,time.perf_counter_ns,2866100,10597850,749100,14215050,169226.7857142857,7926.1359615393685,50000,51000,1000,16000,8008,55216,181224,6947,4703200,True,1743a242072764089c563fc8cfd96bf076c200dc815dc6a0c7495fa4286196de,8.881784197001252e-16
4,2000,42,84,5,30,time.perf_counter_ns,2231650,18990300,1058900,22417600,266876.1904761905,4423.310848169855,100000,102000,2000,32000,16008,55216,307224,13190,4703200,True,30102c48a9c094a29ae28629b5d68bc2890f7089d2b4dc00b42c3969b356d093,8.881784197001252e-16
4,2000,43,84,5,30,time.perf_counter_ns,2879800,20605550,1398200,24663650,293614.88095238095,4076.57160328164,100000,102000,2000,32000,16008,55216,307224,13119,4703200,True,32052a6cb2476d172e12e644c7a3a06d3ecb5271d58f0f487c9834525e0b2d73,4.440892098500626e-16
4,2000,44,84,5,30,time.perf_counter_ns,2312450,19114700,1065750,22453100,267298.8095238095,4394.523586559036,100000,102000,2000,32000,16008,55216,307224,13516,4703200,True,0bd2a162785ca84eeee08508f0105b6e6d9cc41ab16507c208092bf4a2984dbe,8.881784197001252e-16
4,2000,45,84,5,30,time.perf_counter_ns,3656350,22208050,2432650,28611250,340610.11904761905,3782.412233401852,100000,102000,2000,32000,16008,55216,307224,13447,4703200,True,b1be58d05ccacbc41df049e1607d2340c2442803ed2d8011a1b4bca818cd3ce0,8.881784197001252e-16
4,2000,46,84,5,30,time.perf_counter_ns,3022400,20610400,1262450,24637650,293305.35714285716,4075.612312230718,100000,102000,2000,32000,16008,55216,307224,13528,4703200,True,70e2afbf6f0faf9e98452f18cb4084d371f79e2a308e4460c801e59a6de30072,4.440892098500626e-16
4,5000,42,84,5,30,time.perf_counter_ns,2345000,68825250,4404250,75109000,894154.7619047619,1220.482308455109,250000,255000,5000,80000,40008,55216,685224,31866,5481744,True,7b9b8ecb5444fb7c89a60f02ddd3d4018e234a54426824df5578ea5638a955fa,4.440892098500626e-16
4,5000,43,84,5,30,time.perf_counter_ns,2719700,69275950,4207450,76251000,907750.0,1212.5420149416932,250000,255000,5000,80000,40008,55216,685224,31379,5481744,True,c912bb512cf54beb85d51f8bcf4ef854835eb252e5828dae5cee3bd4e7d61414,8.881784197001252e-16
4,5000,44,84,5,30,time.perf_counter_ns,2191800,68215000,4112100,74293050,884441.0714285715,1231.4007183170856,250000,255000,5000,80000,40008,55216,685224,31912,5481744,True,32b94f3106776a3adef0180d3a66b3c4aa80f73887e443c5198dff8a48f3e534,4.440892098500626e-16
4,5000,45,84,5,30,time.perf_counter_ns,3834500,91615500,6411650,102073000,1215154.761904762,916.8754195523683,250000,255000,5000,80000,40008,55216,685224,31687,5481744,True,a83aa0e5f6424badcd17a9515a19c1e217db8ce038d27c64ff45195df5851811,8.881784197001252e-16
4,5000,46,84,5,30,time.perf_counter_ns,3030750,82556650,5380950,91233800,1086116.6666666667,1017.4831464212756,250000,255000,5000,80000,40008,55216,685224,31845,5481744,True,f6f94d34dccb3eaff5bdf0638ff2fbe781822267d374e77fc41a9a90b8518a83,4.440892098500626e-16
4,10000,42,84,5,30,time.perf_counter_ns,2928200,143839600,8860850,155537400,1851635.7142857143,583.9838264288833,500000,510000,10000,160000,80008,55216,1315224,62106,10941744,True,9bfd1a11e2536346c05af84641e04ea9bc258382bf15b4e8a62940e8330b0f5d,4.440892098500626e-16
4,10000,43,84,5,30,time.perf_counter_ns,2231900,134939050,7966550,145328500,1730101.1904761905,622.5032709212048,500000,510000,10000,160000,80008,55216,1315224,62049,10941744,True,541cbe2d992947237bc384fa0d2901e2b2646e0e16ea1a23bd2f6be9085c55d0,4.440892098500626e-16
4,10000,44,84,5,30,time.perf_counter_ns,2644200,135733300,8167900,146142950,1739797.0238095238,618.8606627850351,500000,510000,10000,160000,80008,55216,1315224,62133,10941744,True,1015e1566efb27a22dbcd9c6de05555d126ba4f91f058c4a4e111ed1d3be92a6,8.881784197001252e-16
4,10000,45,84,5,30,time.perf_counter_ns,3259200,171992000,11357750,187041850,2226688.6904761903,488.39480906088653,500000,510000,10000,160000,80008,55216,1315224,61756,10941744,True,6f5a8a88a06a72c74a662bdee5642cc08a5bc197efa3585a1a4ab0bba4869b0c,4.440892098500626e-16
4,10000,46,84,5,30,time.perf_counter_ns,2622250,144215450,9118400,156314100,1860882.142857143,582.4618652162442,500000,510000,10000,160000,80008,55216,1315224,62055,10941744,True,4e6bdaa61e9af5f85c5793982ab5354b6f4b04f7f1852e4f004b660c74cb5082,8.881784197001252e-16
5,1000,42,83,5,30,time.perf_counter_ns,2448700,10243100,752800,13504900,162709.63855421686,8103.015688609894,50000,51000,1000,16000,8008,52528,178536,7035,4424904,True,f896822ed7c2f5dc6f3110f7cf94024580f16f08a7966822789e6662fdb7a704,8.881784197001252e-16
5,1000,43,83,5,30,time.perf_counter_ns,2349850,10238950,776050,13243100,159555.421686747,8106.299962398488,50000,51000,1000,16000,8008,52528,178536,6990,4424904,True,f33a03a2933464a7a2ba2d4a240f9b0a6fb36ca1baf95b52edf89d1995e07e99,4.440892098500626e-16
5,1000,44,83,5,30,time.perf_counter_ns,2565650,10266800,740200,13661850,164600.60240963855,8084.310593368918,50000,51000,1000,16000,8008,52528,178536,7304,4424904,True,ab75a3b84001d593c1d939578d74f41afb7f534139981a63f84551cf2eee3ba5,8.881784197001252e-16
5,1000,45,83,5,30,time.perf_counter_ns,2538850,10490700,778200,13734350,165474.09638554216,7911.769472008541,50000,51000,1000,16000,8008,52528,178536,7331,4424904,True,ebd52c7656ccee95f6b1495044de9a4cb44d7b686def26ee4b500a52db62ad3a,8.881784197001252e-16
5,1000,46,83,5,30,time.perf_counter_ns,3021700,9972300,744300,13669000,164686.7469879518,8323.05486196765,50000,51000,1000,16000,8008,52528,178536,6957,4424904,True,7a0249012c30deac87c5c0f4b7488b17be497332a8b6e7d47595de4421d8a2d3,8.881784197001252e-16
5,2000,42,83,5,30,time.perf_counter_ns,3046650,23482400,1794100,28495100,343314.4578313253,3534.562054985862,100000,102000,2000,32000,16008,52528,304536,13175,4424904,True,a45cf2715f8daea63fb98ff257358e6259ed6a30e88405dedaf95434a32e4af4,4.440892098500626e-16
5,2000,43,83,5,30,time.perf_counter_ns,2549950,21841850,1528200,26114800,314636.1445783133,3800.0444101575645,100000,102000,2000,32000,16008,52528,304536,13189,4424904,True,d23fac9231f72dfc9d0d1168f882935b97547c6245da730934654206fc28f394,4.440892098500626e-16
5,2000,44,83,5,30,time.perf_counter_ns,2526300,19819900,1381250,23433350,282329.5180722892,4187.710331535477,100000,102000,2000,32000,16008,52528,304536,13547,4424904,True,a451b0443ffc98cf25418067b3e728f0dce3a3afefd2721a2ce4d03fed273dfd,8.881784197001252e-16
5,2000,45,83,5,30,time.perf_counter_ns,2445350,21102600,1421350,25261450,304354.8192771084,3933.1646337418138,100000,102000,2000,32000,16008,52528,304536,13604,4424904,True,db7f3e558e89f354a7cf9f87f72120e2bf5ec6cec9633581965398aa2a0538bf,4.440892098500626e-16
